sys i itr dvfs rapl lat50 lat75 lat90 lat99 requests time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_tuned 0 4 0xf00 135 81.0 83.0 85.0 89.0 101162 8.3992 172.28 101171 10926036 202324 21244020 9631914977 12597828784 24356134039 938000 0 0 0 0 23 4625
ebbrt_tuned 1 4 0xf00 135 81.0 83.0 85.0 89.0 100989 8.4002 172.45 100998 10907352 201978 21207690 9585227925 12599264656 24358880223 895350 0 0 0 0 31 5044
ebbrt_tuned 2 4 0xf00 135 81.0 83.0 84.0 88.0 100384 8.2995 170.25 100393 10842012 200768 21080640 9552117644 12448009579 24066662767 770846 0 0 0 0 17 6056
ebbrt_tuned 0 4 0xd00 135 94.0 96.0 98.0 103.0 100157 9.6001 185.24 100166 10817496 200314 21032970 9469228004 12479893208 27839774612 845280 0 0 0 0 0 1722
ebbrt_tuned 1 4 0xd00 135 94.0 97.0 99.0 103.0 100542 9.6993 187.09 100551 10859076 201084 21113820 9543208260 12608887226 28127530534 731106 0 0 0 0 0 1716
ebbrt_tuned 2 4 0xd00 135 94.0 97.0 99.0 103.0 100455 9.6995 187.12 100464 10849680 200910 21095550 9437908064 12609146783 28128098006 819871 0 0 0 0 0 1721
ebbrt_tuned 1 6 0x1d00 135 60.0 108.0 110.0 112.0 100887 7.9001 239.24 100896 10896336 201774 21186270 9500341063 13611836241 17256218493 1414770 0 0 0 0 1452 175002
ebbrt_tuned 0 6 0x1b00 135 60.0 61.0 109.0 112.0 100577 7.0991 206.01 100586 10862856 201154 21121170 9615740129 13465241239 16171142690 1430091 0 0 0 0 1700 194452
ebbrt_tuned 1 6 0x1b00 135 60.0 91.0 110.0 112.0 100298 7.2999 210.69 100307 10832724 200596 21062580 9542136230 13321435645 16424988796 1500396 0 0 0 0 1592 190382
ebbrt_tuned 2 6 0x1b00 135 60.0 93.0 109.0 112.0 100211 7.3994 213.07 100220 10823328 200422 21044310 9564285366 13197425546 16536047399 1373256 0 0 0 0 1468 187378
ebbrt_tuned 0 6 0x1900 135 63.0 65.0 111.0 114.0 100970 7.5001 203.64 100979 10905300 201940 21203700 9570152896 13442309888 17312157434 1525241 0 0 0 0 1417 194337
ebbrt_tuned 1 6 0x1900 135 62.0 63.0 110.0 113.0 100295 7.0996 193.73 100304 10832400 200590 21061950 9561011291 13295772274 16627699463 1440366 0 0 0 0 1386 195838
ebbrt_tuned 2 6 0x1900 135 62.0 63.0 110.0 113.0 101259 7.0994 193.83 101268 10936512 202518 21264390 9518267009 13422695078 16681669014 1458441 0 0 0 0 1506 198354
ebbrt_tuned 0 6 0x1700 135 65.0 66.0 67.0 113.0 100253 6.7995 177.1 100262 10827864 200506 21053130 9538524659 13352880984 16987198949 1397115 0 0 0 0 2383 200197
ebbrt_tuned 1 6 0x1700 135 65.0 66.0 67.0 113.0 100082 6.7997 176.84 100091 10809396 200164 21017220 9378417302 13177229328 16816569590 1495006 0 0 0 0 2229 199814
ebbrt_tuned 2 6 0x1700 135 65.0 66.0 67.0 113.0 100963 6.799 177.07 100972 10904544 201926 21202230 9599057608 13341039347 16961367750 1515059 0 0 0 0 2235 201674
ebbrt_tuned 0 6 0x1500 135 79.0 81.0 82.0 184.0 100215 8.2996 205.01 100224 10823760 200430 21045150 9544862451 16858588721 23372414773 9148709 0 0 0 0 876 194255
ebbrt_tuned 1 6 0x1500 135 80.0 82.0 83.0 179.0 100984 8.3997 207.64 100993 10906812 201968 21206640 9629209996 17169473212 23770468106 9329456 0 0 0 0 981 196605
ebbrt_tuned 2 6 0x1500 135 80.0 82.0 83.0 184.0 101118 8.3999 207.65 101127 10921284 202236 21234780 9686305862 17125112291 23723056557 9227828 0 0 0 0 761 196433
ebbrt_tuned 0 6 0x1300 135 87.0 88.0 89.0 98.0 100216 8.6 200.17 100225 10823868 200432 21045360 9509471312 16075479766 24547888448 7707493 0 0 0 0 454 174790
ebbrt_tuned 1 6 0x1300 135 87.0 88.0 89.0 97.0 100234 8.5994 200.15 100243 10825812 200468 21049140 9599109097 16068312045 24537633555 7761173 0 0 0 0 460 177416
ebbrt_tuned 2 6 0x1300 135 87.0 88.0 89.0 98.0 100002 8.5993 200.09 100011 10800756 200004 21000420 9450335804 16066027322 24534070209 7916943 0 0 0 0 462 178079
ebbrt_tuned 0 6 0x1100 135 76.0 96.0 97.0 100.0 100460 8.4996 185.26 100469 10850220 200920 21096600 9604448527 14335048610 24455440160 4315469 0 0 0 0 633 112069
ebbrt_tuned 1 6 0x1100 135 76.0 96.0 97.0 100.0 100625 8.4995 185.23 100634 10868040 201250 21131250 9450891300 14340038688 24463525505 4198851 0 0 0 0 542 109308
ebbrt_tuned 2 6 0x1100 135 76.0 95.0 97.0 99.0 100755 8.2992 180.85 100764 10882080 201510 21158550 9620113462 14027674848 23930448346 3407039 0 0 0 0 463 98305
ebbrt_tuned 0 6 0xf00 135 82.0 84.0 85.0 90.0 101186 8.4996 174.55 101195 10928628 202372 21249060 9649482257 12745100626 24642641714 910266 0 0 0 0 55 6375
ebbrt_tuned 1 6 0xf00 135 82.0 84.0 86.0 91.0 100694 8.4992 174.4 100703 10875492 201388 21145740 9542180981 12745034076 24642162895 854057 0 0 0 0 42 5823
ebbrt_tuned 2 6 0xf00 135 82.0 85.0 86.0 91.0 100467 8.4998 174.46 100476 10850976 200934 21098070 9579396978 12745387967 24643324200 758450 0 0 0 0 10 5790
ebbrt_tuned 0 6 0xd00 135 95.0 98.0 99.0 104.0 100808 9.7998 188.92 100817 10887804 201616 21169680 9529227663 12738472517 28416892389 827875 0 0 0 0 1 1789
ebbrt_tuned 1 6 0xd00 135 95.0 98.0 100.0 104.0 100672 9.799 188.94 100681 10873116 201344 21141120 9605673013 12738007989 28415707043 715802 0 0 0 0 0 1712
ebbrt_tuned 2 6 0xd00 135 95.0 98.0 99.0 104.0 100887 9.7991 188.88 100896 10896336 201774 21186270 9496778033 12737973116 28415663514 820252 0 0 0 0 1 1735
ebbrt_tuned 0 8 0x1d00 135 62.0 108.0 110.0 112.0 100053 8.0998 244.17 100062 10806264 200106 21011130 9565181112 13411969515 17560086989 1090702 0 0 0 0 1357 167634
ebbrt_tuned 1 8 0x1d00 135 62.0 109.0 110.0 113.0 101067 8.1996 247.14 101076 10915776 202134 21224070 9489269096 13613773721 17798689216 1478611 0 0 0 0 1441 169298
ebbrt_tuned 2 8 0x1d00 135 61.0 109.0 110.0 113.0 100861 8.0991 244.56 100870 10893528 201722 21180810 9616891919 13627992765 17621626439 2330046 0 0 0 0 1490 171367
ebbrt_tuned 1 8 0x1b00 135 61.0 98.0 111.0 115.0 100522 7.5995 218.95 100531 10856916 201044 21109620 9583683316 13621350477 17063006892 7452601 0 0 0 0 1629 189618
ebbrt_tuned 2 8 0x1b00 135 61.0 99.0 110.0 115.0 100787 7.7 221.36 100796 10885536 201574 21165270 9636199493 13555318875 17199915515 7499479 0 0 0 0 1528 186936
ebbrt_tuned 0 8 0x1900 135 63.0 64.0 110.0 114.0 100609 7.1997 196.43 100618 10866312 201218 21127890 9619939079 13448230798 16868655707 7462451 0 0 0 0 1373 196604
ebbrt_tuned 1 8 0x1900 135 63.0 64.0 111.0 115.0 100524 7.2995 198.81 100533 10857132 201048 21110040 9574542189 13455668033 17027107067 7464520 0 0 0 0 1480 195309
